state,type,name,city,industries,categories,Address,x,y
Illinois,State,Lincoln Correctional Center,Lincoln,Office seating assembly; metal filing cabinet assembly; sign manufacturing; warehousing; distribution center,metal,"1098 1350th Street, Lincoln, IL 62656",-89.38783422,40.11390481
Illinois,State,Logan Correctional Center,Lincoln,Recycling; service dog training,recycle,"1096 1350th Street, Lincoln, IL 62656",-89.38812497,40.11390571
Illinois,State,Menard Correctional Center,Menard,Broom manufacturing; cleaning products; garment shop; meat processing; waste removal; bio-diesel production; recycling,"clothing,food,recycle","711 Kaskaskia Street, Menard, IL 62259",-89.84507558,37.91233228
Illinois,State,Shawnee Correctional Center,Vienna,Metal institutional furniture; parks furniture; plastic lumber furniture; recycling,"furniture,metal,recycle","6665 State Route 146 East, Vienna, IL 62995",-88.77684531,37.39783556
Illinois,State,Sheridan Correctional Center,Sheridan,Garment cutting,clothing,"4017 E. 2603 Road, Sheridan, IL 60551",-88.67951335,41.51706222
Illinois,State,Stateville Correctional Center,Joliet,Wood furniture; modular paneling designs; soap; cleaning supplies,furniture,"16830 So. Broadway St., Joliet, IL 60434 ",-88.08935293,41.52243196
Illinois,State,Vandalia Correctional Center,Vandalia,Cooking oil distribution; meat processing; milk processing; juice processing; recycling,"food,recycle","39.015437, -89.097709",-89.097709,39.015437
Illinois,State,Western Illinois Correctional Center,Mount Sterling,Meat processing,food,"2500 Rt. 99 South, Mount Sterling, IL 62353",-90.75084423,39.96438902
Illinois,Federal,FCI Greenville,Greenville,Clothing; textiles,clothing,"100 U.S. HWY 40, GREENVILLE, IL  62246",-89.41341754,38.89237122
Illinois,Federal,FCI Pekin,Pekin,Electronics; fleet management,none,"2600 S. SECOND ST., PEKIN, IL  61554",-89.66450428,40.53639109
Illinois,Federal,USP Marion,Marion,Electronics; fleet management,none,"4500 PRISON ROAD, MARION, IL  62959",-88.98752166,37.66136398
Indiana,State,Branchville Correctional Facility,Branchville,Call center; pallet repair; plastic recycling,"call-center,recycle","21390 Old State Road 37, Branchville, IN 47514",-86.60184965,38.16002799
Indiana,State,Correctional Industrial Facility,Pendleton,Automotive part refurbishing; laundry,none,"5124 W. Reformatory Road, Pendleton, IN 46064",-85.75587509,39.98328092
Indiana,State,Indiana State Prison,Michigan City,Digital license plates; metal fabrication,"plates,metal","1 Park Row, Michigan City, IN 46360",-86.91418961,41.7034354
Indiana,State,Indiana Women's Prison,Indianapolis,CAD engineering; hand sewing,none,"2596 GirlÕs School Road, Indianapolis, IN 46214",-86.1499558,39.76691072
Indiana,State,Indianapolis Reentry Educational Facility,Indianapolis,Administrative support; career development training,none,"401 North Randolph Street, Indianapolis, Indiana 46201",-86.12827468,39.77229112
Indiana,State,Miami Correctional Facility,Bunker Hill,Braille; hygiene products; janitorial products; clothing; industrial filters; packaging,clothing,"3038 West 850 South, Bunker Hill, IN 46914-9810",-86.12923649,40.6428887
Indiana,State,Pendleton Correctional Facility,Pendleton,Furniture; clothing,"clothing,furniture","4490 W. Reformatory Rd., Pendleton, IN 46064-9001",-85.75847212,39.98092858
